Suburb,Address,Rooms,Type,Price,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea,address,latitude,longitude,geometry,School_Name,School_Rank
Blackburn,53 Salisbury Av,2,u,837000.0,10/09/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"53 Salisbury Av,Blackburn,3130,Victoria,Australia",-37.822709700000004,145.1405991,POINT (145.1405991 -37.8227097),Box Hill High School,1
Blackburn South,37 Indra Rd,3,h,819000.0,10/09/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"37 Indra Rd,Blackburn South,3130,Victoria,Australia",-37.837805700000004,145.1401314,POINT (145.1401314 -37.8378057),Box Hill High School,1
Box Hill,18 Glenmore St,4,h,1560000.0,10/09/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"18 Glenmore St,Box Hill,3128,Victoria,Australia",-37.823375399999996,145.1265634,POINT (145.1265634 -37.8233754),Box Hill High School,1
Surrey Hills,255 Elgar Rd,4,h,1300000.0,10/09/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"255 Elgar Rd,Surrey Hills,3127,Victoria,Australia",-37.8376607,145.1110159,POINT (145.1110159 -37.8376607),Box Hill High School,1
Blackburn,8/11 Main St,2,u,620000.0,10/12/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"8/11 Main St,Blackburn,3130,Victoria,Australia",-37.8267177,145.1491477,POINT (145.1491477 -37.8267177),Box Hill High School,1
Blackburn,2/1 Park St,3,u,840000.0,10/12/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"2/1 Park St,Blackburn,3130,Victoria,Australia",-37.8227768,145.1378436,POINT (145.1378436 -37.8227768),Box Hill High School,1
Blackburn South,1/9 Barrina St,3,u,870000.0,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"1/9 Barrina St,Blackburn South,3130,Victoria,Australia",-37.835542700000005,145.1408658,POINT (145.1408658 -37.8355427),Box Hill High School,1
Blackburn South,35 Lawrence St,3,h,1300000.0,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"35 Lawrence St,Blackburn South,3130,Victoria,Australia",-37.8337997,145.14854069999998,POINT (145.1485407 -37.8337997),Box Hill High School,1
Blackburn South,2 School St,3,h,1051500.0,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"2 School St,Blackburn South,3130,Victoria,Australia",-37.8321502,145.1408126,POINT (145.1408126 -37.8321502),Box Hill High School,1
Box Hill,3 Alexander St,3,h,1715000.0,10/12/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"3 Alexander St,Box Hill,3128,Victoria,Australia",-37.8254451,145.1202997,POINT (145.1202997 -37.8254451),Box Hill High School,1
Box Hill,21 Barkly St,3,h,1200000.0,10/12/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"21 Barkly St,Box Hill,3128,Victoria,Australia",-37.8275158,145.1300238,POINT (145.1300238 -37.8275158),Box Hill High School,1
Box Hill,17 Combarton St,3,h,1760000.0,10/12/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"17 Combarton St,Box Hill,3128,Victoria,Australia",-37.8263313,145.1278595,POINT (145.1278595 -37.8263313),Box Hill High School,1
Surrey Hills,20 Everton Gr,5,h,2630000.0,10/12/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"20 Everton Gr,Surrey Hills,3127,Victoria,Australia",-37.8269244,145.105953,POINT (145.105953 -37.8269244),Box Hill High School,1
Box Hill,4/10 Victoria St,3,u,975000.0,15/09/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"4/10 Victoria St,Box Hill,3128,Victoria,Australia",-37.82511220000001,145.1299608,POINT (145.1299608 -37.82511220000001),Box Hill High School,1
Blackburn,13 Acacia Av,4,h,2000000.0,15/10/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"13 Acacia Av,Blackburn,3130,Victoria,Australia",-37.8255187,145.14420249999998,POINT (145.1442025 -37.8255187),Box Hill High School,1
Blackburn,1/8 Duckham St,3,t,1258000.0,15/10/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"1/8 Duckham St,Blackburn,3130,Victoria,Australia",-37.828465,145.13662769999996,POINT (145.1366277 -37.828465),Box Hill High School,1
Box Hill,1/14 Barkly St,4,t,975000.0,15/10/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"1/14 Barkly St,Box Hill,3128,Victoria,Australia",-37.8275158,145.1300238,POINT (145.1300238 -37.8275158),Box Hill High School,1
Box Hill,23 Bass St,3,h,1325000.0,15/10/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"23 Bass St,Box Hill,3128,Victoria,Australia",-37.8255807,145.1213554,POINT (145.1213554 -37.8255807),Box Hill High School,1
Box Hill,3/14 Bedford St,3,t,750000.0,15/10/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"3/14 Bedford St,Box Hill,3128,Victoria,Australia",-37.827673600000004,145.1315159,POINT (145.1315159 -37.8276736),Box Hill High School,1
Box Hill,5 Wavell St,3,h,1400000.0,15/10/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"5 Wavell St,Box Hill,3128,Victoria,Australia",-37.8293752,145.12728280000002,POINT (145.1272828 -37.8293752),Box Hill High School,1
Box Hill,22 William St,3,h,1500000.0,15/10/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"22 William St,Box Hill,3128,Victoria,Australia",-37.82084329999999,145.1280162,POINT (145.1280162 -37.82084329999999),Box Hill High School,1
Blackburn,356 Middleborough Rd,3,h,899000.0,16/04/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"356 Middleborough Rd,Blackburn,3130,Victoria,Australia",-37.8303512,145.1363523,POINT (145.1363523 -37.8303512),Box Hill High School,1
Blackburn South,8 Cluney Ct,5,h,1075000.0,16/04/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"8 Cluney Ct,Blackburn South,3130,Victoria,Australia",-37.8368711,145.1450274,POINT (145.1450274 -37.8368711),Box Hill High School,1
Blackburn South,40 Indra Rd,4,h,911000.0,16/04/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"40 Indra Rd,Blackburn South,3130,Victoria,Australia",-37.837805700000004,145.1401314,POINT (145.1401314 -37.8378057),Box Hill High School,1
Box Hill,55 Albion Rd,4,h,1600000.0,16/04/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"55 Albion Rd,Box Hill,3128,Victoria,Australia",-37.82511220000001,145.1299608,POINT (145.1299608 -37.82511220000001),Box Hill High School,1
Blackburn,2/21 Laburnum St,3,u,1120000.0,16/06/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"2/21 Laburnum St,Blackburn,3130,Victoria,Australia",-37.820516999999995,145.1412523,POINT (145.1412523 -37.820517),Box Hill High School,1
Box Hill,11 Kangerong Rd,3,h,975000.0,16/06/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"11 Kangerong Rd,Box Hill,3128,Victoria,Australia",-37.8183096,145.12742680000002,POINT (145.1274268 -37.8183096),Box Hill High School,1
Surrey Hills,7 Beech St,4,h,2190000.0,16/06/2018,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"7 Beech St,Surrey Hills,3127,Victoria,Australia",-37.834449299999996,145.1084298,POINT (145.1084298 -37.8344493),Box Hill High School,1
Box Hill,126 Carrington Rd,2,u,616000.0,16/07/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"126 Carrington Rd,Box Hill,3128,Victoria,Australia",-37.82033679999999,145.1230303,POINT (145.1230303 -37.82033679999999),Box Hill High School,1
Box Hill,54 Watts St,4,h,1661000.0,16/07/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"54 Watts St,Box Hill,3128,Victoria,Australia",-37.817685,145.12533090000002,POINT (145.1253309 -37.817685),Box Hill High School,1
Surrey Hills,7 Newton St,5,h,2100000.0,16/07/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"7 Newton St,Surrey Hills,3127,Victoria,Australia",-37.83013,145.1089241,POINT (145.1089241 -37.83013),Box Hill High School,1
Blackburn,15 Banksia St,4,h,1760000.0,16/09/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"15 Banksia St,Blackburn,3130,Victoria,Australia",-37.829256,145.1421365,POINT (145.1421365 -37.829256),Box Hill High School,1
Blackburn,2 Furness St,5,h,1900000.0,16/09/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"2 Furness St,Blackburn,3130,Victoria,Australia",-37.8266365,145.1526368,POINT (145.1526368 -37.8266365),Box Hill High School,1
Blackburn,25 Jeffery St,4,h,2380000.0,16/09/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"25 Jeffery St,Blackburn,3130,Victoria,Australia",-37.8274525,145.1568995,POINT (145.1568995 -37.8274525),Box Hill High School,1
Blackburn,352 Middleborough Rd,3,h,1040000.0,16/09/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"352 Middleborough Rd,Blackburn,3130,Victoria,Australia",-37.8303512,145.1363523,POINT (145.1363523 -37.8303512),Box Hill High School,1
Blackburn South,152 Middleborough Rd,4,h,1100000.0,16/09/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"152 Middleborough Rd,Blackburn South,3130,Victoria,Australia",-37.83072670000001,145.1362805,POINT (145.1362805 -37.83072670000001),Box Hill High School,1
Box Hill,45 Rose St,3,h,1725000.0,16/09/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"45 Rose St,Box Hill,3128,Victoria,Australia",-37.824402899999995,145.1285225,POINT (145.1285225 -37.8244029),Box Hill High School,1
Surrey Hills,7/6 Park Rd,2,u,724000.0,16/09/2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"7/6 Park Rd,Surrey Hills,3127,Victoria,Australia",-37.837446,145.1111651,POINT (145.1111651 -37.837446),Box Hill High School,1
Surrey Hills,10 Pembroke St,5,h,2230000.0,16/09/2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"10 Pembroke St,Surrey Hills,3127,Victoria,Australia",-37.8300059,145.10776840000003,POINT (145.1077684 -37.8300059),Box Hill High School,1
Blackburn,36A Sheehans Rd,5,h,2250000.0,16/12/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"36A Sheehans Rd,Blackburn,3130,Victoria,Australia",-37.8285025,145.1445031,POINT (145.1445031 -37.8285025),Box Hill High School,1
Blackburn South,180 Canterbury Rd,3,h,950000.0,16/12/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"180 Canterbury Rd,Blackburn South,3130,Victoria,Australia",-37.8310071,145.14096990000002,POINT (145.1409699 -37.8310071),Box Hill High School,1
Blackburn South,38 Lawrence St,3,h,950000.0,16/12/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"38 Lawrence St,Blackburn South,3130,Victoria,Australia",-37.8337997,145.14854069999998,POINT (145.1485407 -37.8337997),Box Hill High School,1
Blackburn,1 Orana St,3,h,1505000.0,17/02/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"1 Orana St,Blackburn,3130,Victoria,Australia",-37.8290102,145.14015700000002,POINT (145.140157 -37.8290102),Box Hill High School,1
Blackburn South,1a Agnew St,3,t,1000000.0,17/02/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"1a Agnew St,Blackburn South,3130,Victoria,Australia",-37.831878499999995,145.136148,POINT (145.136148 -37.83187849999999),Box Hill High School,1
Blackburn South,9 Wardle Cl,4,h,1250000.0,17/02/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"9 Wardle Cl,Blackburn South,3130,Victoria,Australia",-37.8363765,145.1421054,POINT (145.1421054 -37.8363765),Box Hill High School,1
Surrey Hills,25A Chestnut St,3,t,1300000.0,17/02/2018,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"25A Chestnut St,Surrey Hills,3127,Victoria,Australia",-37.834712200000006,145.1106925,POINT (145.1106925 -37.83471220000001),Box Hill High School,1
Blackburn,10 Haydn St,4,h,1955000.0,17/03/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"10 Haydn St,Blackburn,3130,Victoria,Australia",-37.827591399999996,145.1476802,POINT (145.1476802 -37.8275914),Box Hill High School,1
Blackburn,4B Pakenham St,4,h,1450000.0,17/03/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"4B Pakenham St,Blackburn,3130,Victoria,Australia",-37.82181,145.14209,POINT (145.14209 -37.82181),Box Hill High School,1
Blackburn,2/8 Service Rd,3,u,1350000.0,17/03/2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"2/8 Service Rd,Blackburn,3130,Victoria,Australia",-37.8158267,145.1430906,POINT (145.1430906 -37.8158267),Box Hill High School,1
Blackburn South,45 Baratta St,3,h,1440000.0,17/03/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"45 Baratta St,Blackburn South,3130,Victoria,Australia",-37.8381265,145.1428524,POINT (145.1428524 -37.8381265),Box Hill High School,1
Blackburn South,10 Barrina St,3,h,1300000.0,17/03/2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"10 Barrina St,Blackburn South,3130,Victoria,Australia",-37.835542700000005,145.1408658,POINT (145.1408658 -37.8355427),Box Hill High School,1
Box Hill,29 Albion Rd,6,h,4600000.0,17/03/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"29 Albion Rd,Box Hill,3128,Victoria,Australia",-37.82511220000001,145.1299608,POINT (145.1299608 -37.82511220000001),Box Hill High School,1
Box Hill,3 Maple St,2,h,2000000.0,17/03/2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"3 Maple St,Box Hill,3128,Victoria,Australia",-37.8255381,145.12840880000002,POINT (145.1284088 -37.8255381),Box Hill High School,1
Surrey Hills,20 Erasmus St,3,h,2125000.0,17/03/2018,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"20 Erasmus St,Surrey Hills,3127,Victoria,Australia",-37.8302693,145.1100937,POINT (145.1100937 -37.8302693),Box Hill High School,1
Blackburn,75 Canterbury Rd,3,h,1112000.0,17/06/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"75 Canterbury Rd,Blackburn,3130,Victoria,Australia",-37.8320213,145.1499747,POINT (145.1499747 -37.8320213),Box Hill High School,1
Blackburn South,4 Barker St,3,h,1300000.0,17/06/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"4 Barker St,Blackburn South,3130,Victoria,Australia",-37.8365113,145.1363934,POINT (145.1363934 -37.8365113),Box Hill High School,1
Blackburn,2/334 Middleborough Rd,3,u,642000.0,17/09/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"2/334 Middleborough Rd,Blackburn,3130,Victoria,Australia",-37.8303512,145.1363523,POINT (145.1363523 -37.8303512),Box Hill High School,1
Blackburn South,35 Aberdeen Rd,4,h,1342000.0,17/09/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"35 Aberdeen Rd,Blackburn South,3130,Victoria,Australia",-37.8307489,145.1395319,POINT (145.1395319 -37.8307489),Box Hill High School,1
Box Hill,12 Barcelona St,4,h,1461400.0,17/09/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"12 Barcelona St,Box Hill,3128,Victoria,Australia",-37.823327899999995,145.13167040000002,POINT (145.1316704 -37.8233279),Box Hill High School,1
Box Hill,2/4 Collins St,3,u,775000.0,17/09/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"2/4 Collins St,Box Hill,3128,Victoria,Australia",-37.827397999999995,145.12523159999998,POINT (145.1252316 -37.827398),Box Hill High School,1
Box Hill,12 Pendle St,4,h,1506000.0,17/09/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"12 Pendle St,Box Hill,3128,Victoria,Australia",-37.8165586,145.13559009999997,POINT (145.1355901 -37.8165586),Box Hill High School,1
Box Hill,33 Pendle St,4,h,1670000.0,17/09/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"33 Pendle St,Box Hill,3128,Victoria,Australia",-37.8165586,145.13559009999997,POINT (145.1355901 -37.8165586),Box Hill High School,1
Surrey Hills,38 Park Rd,4,h,1250000.0,17/09/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"38 Park Rd,Surrey Hills,3127,Victoria,Australia",-37.837446,145.1111651,POINT (145.1111651 -37.837446),Box Hill High School,1
Blackburn,5 Arna St,3,h,1431000.0,18/03/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"5 Arna St,Blackburn,3130,Victoria,Australia",-37.829173,145.1503622,POINT (145.1503622 -37.829173),Box Hill High School,1
Blackburn,21 Hillside Cr,3,h,1540000.0,18/03/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"21 Hillside Cr,Blackburn,3130,Victoria,Australia",-37.822655499999996,145.13933740000002,POINT (145.1393374 -37.8226555),Box Hill High School,1
Blackburn,45 Rosalind Cr,3,h,1120000.0,18/03/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"45 Rosalind Cr,Blackburn,3130,Victoria,Australia",-37.8286738,145.15928080000003,POINT (145.1592808 -37.8286738),Box Hill High School,1
Blackburn South,1/19 Barrina St,3,u,780000.0,18/03/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,"1/19 Barrina St,Blackburn South,3130,Victoria,Australia",-37.835542700000005,145.1408658,POINT (145.1408658 -37.8355427),Box Hill High School,1
Box Hill,7/12 Oxford St,1,u,340000.0,18/03/2017,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council,"7/12 Oxford St,Box Hill,3128,Victoria,Australia",-37.8215957,145.1191885,POINT (145.1191885 -37.8215957),Box Hill High School,1
Surrey Hills,3/251 Elgar Rd,3,t,1080000.0,18/03/2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"3/251 Elgar Rd,Surrey Hills,3127,Victoria,Australia",-37.8376607,145.1110159,POINT (145.1110159 -37.8376607),Box Hill High School,1
Surrey Hills,26 Newton St,4,h,2060000.0,18/03/2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,"26 Newton St,Surrey Hills,3127,Victoria,Australia",-37.83013,145.1089241,POINT (145.1089241 -37.83013),Box Hill High School,1
Blackburn,1 Banksia St,4,h,1160000.0,18/06/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,"1 Banksia St,Blackburn,3130,Victoria,Australia",-37.8284115,145.14240759999998,POINT (145.1424076 -37.8284115),Box Hill High School,1
