,Company,Location,Salary,Job Title,Summary
13,Government of South Australia,Adelaide SA,"$96,343 a year",DATA SCIENTIST,"The Data Scientist is a technical expert responsible for statistical analysis and data analysis of multiple sensitive, large and diverse data sets, used to…"
14,RACV,Australia,,Data Scientist,"Knowledge of data engineering and dimensionality reduction of structured and unstructured data. 3+ years’ experience with a bias towards data mining, predictive…"
15,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
16,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
17,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
18,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
19,Queensland Government,Brisbane QLD,,Scientist,Prepare data extractions from the database and undertake manipulation and statistical analyses of data as required. Take a lead role in managing data quality.
20,Coles,Hawthorn East VIC,,Data Scientist,"As a Data Scientist at Coles you will conduct rigorous evaluation of models before coming into the defence process, anticipate questions and over deliver on…"
21,Foxtel,Moonee Ponds VIC,,Data Scientist,Our Data & Analytics Department is seeking a Data Scientist to assist with solving FoxCo commercial and customer problems by the application of data science.
22,David Jones,Melbourne VIC,,Data Scientist,"Have demonstrated experience with big data and big data architecture (Map reduce, Hive, Pig, Spark). As the Data Scientist, you will provides crucial support to…"
23,Intellify Pty Ltd. - ACS Foundation,Sydney NSW,"$42,000 a year",Intern Data Scientist,"Experience with data visualisation tools or frameworks i.e. tableau, D3.js, ggplot2 etc. Strong Python or R programming experience and related data science…"
24,Stratton,Port Melbourne VIC,,Data Scientist,"The Data Scientist is responsible for analysing business challenges and providing solutions based on data. This includes reviewing, designing and implementation…"
25,koji,Melbourne VIC,"$60,000 - $70,000 a year",Market Research Consultant - Data Visualisation and Analysis,"Dealing with data providers and other data analysts. Data extraction, manipulation & analysis. Developing new ways of reporting data."
26,AECOM,Brisbane QLD,,2019 - Undergraduate Environmental Scientist,"Whether you are an engineer, planner, scientist or data expert, we are looking for people who share our purpose and are passionate about improving the…"
27,IBM,Ballarat VIC,,Data Scientist-Advanced Analytics– IBM Ballarat,"As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…"
28,Cash Converters,Perth WA,,Lead Data Scientist,Experience with predictive modelling and data visualisation tools. Demonstrated experience delivering data science initiatives from ideation through…
29,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
30,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
31,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
32,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
33,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
34,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
35,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
36,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
37,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
38,ROSEN Group,Newcastle NSW,,Data Scientist,"Preparation of data pipelines using Python and SQL. Due to our continued growth in the field of Integrity Analytics, our Integrity Solutions Business Line …"
39,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
40,IESTEC PTY. LTD,Saint Kilda VIC,,Internship - Engineering/Data Analysis,"SQL, data exploration tools, or data modeling skills. This is an excellent opportunity to work with experienced engineers and data analysts for large scale…"
41,Universal Music Group,Woolloomooloo NSW,,Data Scientist,"Are you a Data Scientist with 2-5 years' experience, who is interested in working in the dynamic world of music and entertainment?"
42,IDEXX,Mount Waverley VIC,,Veterinary Laboratory Scientist,Intermediate pc and data entry skills. We have a position available for a qualified Veterinary/Medical Laboratory Scientist in our veterinary diagnostic…
43,Lion Pty Ltd,Milton QLD,,Data Scientist,"As a Data Scientist, you will support Supply Chain decision making by providing insights from data using data mining and analytics solutions."
44,MiniFAB,Melbourne VIC,,Scientist,"Demonstrated ability in data analysis, scientific report writing and presentation skills. Following a period of strong growth, a unique opportunity has arisen…"
45,Foxtel,Moonee Ponds VIC,,Senior Data Scientist,Our Data & Analytics Department is seeking a Senior Data Scientist to solve FoxCo commercial and customer problems by the application of data science.
46,Clemenger Group,Melbourne VIC,,Senior Data Scientist,Performing data studies and data discovery around new data sources or new uses for existing data sources. Designing and implementing statistical data quality…
47,IBM,Melbourne VIC,"$89,250 a year",IBM Research Scientist - Health AI Postdoc FTH 24Months Melb...,Research Scientist - Health AI Postdoc FTH 24Months Melbourne. Knowledge of using machine learning/deep learning for analysing video data.
48,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
49,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
50,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
51,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
52,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
53,AWS Australia Pty Ltd,Melbourne VIC,,Senior Data Scientist - AWS Professional Services,"Our Data Scientists can live in any location where we have a Professional Service office. Work with our Professional Services Big Data consultants to analyze,…"
54,BT,Australia,,Senior Data Scientist,"Demonstrable track record of leadership and managing a team of Data Scientists, Machine Learning Engineers and Data Engineers. We need you to help us do this."
55,FinXL,Sydney Central Business District NSW,,Data Scientist-Python,Experienced Data Scientist –government experience a plus. We are looking for a Senior Data Scientist Consultant to join a major project we have with one of the…
56,International Institute of Data & Analytics,Sydney NSW,,Junior Data Analyst/Scientist,"In data science and big data analytics, the IDA creates enablers for: Leading the field of data science and analytics innovation, training and services by…"
57,Michael Page,Melbourne VIC,"$180,000 - $250,000 a year",Lead Data Scientist - Tech,"An experienced machine learning practitioner, passionate about building and improving internet-scale products informed by data."
58,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
59,Macquarie Group Limited,Sydney NSW,,Senior Data Scientist,"As a Senior Data Scientist, you’ll guide an agile multifunctional team including a Junior Data Scientist, Domain Expert and a Data Engineer."
60,University of South Australia,South Australia,"$98,413 - $116,567 a year",Online Lecturer - IT and Data Analysis (Level B Teaching Aca...,To be successful you will have a doctoral qualification or postgraduate degree in a relevant discipline along with recent teaching experience and discipline…
61,CSL Behring,Parkville VIC,"$87,178 a year","Scientist, Cell Line Development",Ensure accurate and timely data collection including documentation of experiments. Actively participate in the analysis of data in conjunction with the team.
62,Senversa,Melbourne VIC,,GIS Technician/ Scientist,Strong data processing and management skills. Spatial analysis of data to help with decision making. Assisting with implementing technologies related to spatial…
63,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
64,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
65,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
66,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
67,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
68,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
69,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
70,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
71,Queensland Government,Toowoomba QLD,,Environmental Scientist,"These include flow-through non-steady state chambers, headspace trials, data logging, Fourier Transform Infra-Red gas analysis, quantum cascade laser gas…"
72,Curio Academy,Melbourne VIC,$65 - $90 an hour,"Data Taming, Modelling, and Visualisation (Grad Dip level) e...",6.Articulate the ideas that data scientists consider when looking at data. Data Scientist with online teaching facilitation. 14 Oct 2019 - 11 Dec 2019.
73,GapMaps Pty Ltd.,Docklands VIC,"$70,000 a year",GIS Analyst / GIS Scientist,Produce reports on geographic data utilizing data visualizations. Designing digital maps with geographic data and other data sources.
74,IBM,Melbourne VIC,"$89,250 a year",IBM Research Scientist -AI-NLP Melbourne,"IBM Research Scientist -AI-NLP Melbourne. IBM Research Scientist -AI-NLP Melbourne. IBM Research Scientists are charting the future of Artificial Intelligence,…"
75,The Walter and Eliza Hall Institute of Medical Res...,Melbourne VIC,,Associate Database Scientist,"They will utilize business intelligence (BI), programming, and relational database tools to assist in organizing and interrogating large data sets generated by…"
76,Queensland Government,Brisbane QLD,,Senior Scientist,"Manage long-term water monitoring programs located throughout Queensland, including oversight of field staff undertaking the programs and ongoing liaison with…"
77,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
78,ERM Group,Melbourne VIC,,"Field Environmental Scientist, Victoria (Entry Level)","Management and analysis of technical data; Some fieldwork experience involving data collection (soil, water, air, etc.). A career as an ERM Employee is unique."
79,Michael Page,Melbourne VIC,"$140,000 - $150,000 a year",Analytics Lead/ Data Scientist,"Coordinate with the different analytical and data functions to improve and solve data issues and capabilities. Data Analysis - SQL, MS BI stack, Oracle."
80,Continuum Jobs,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
81,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
82,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
83,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
84,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
85,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
86,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
87,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
88,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
89,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
90,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
91,Australian Government Department of Defence,Canberra ACT,"$67,100 - $92,150 a year","ASD 4/5/6 - Data Scientists, Software Developers and Integra...","System administrator, database administrator, software developer, integration developer, plugin developer, UX/UI developer, data processing, data governance and…"
92,Amazon Corporate Services Pty,Sydney NSW,,Data Scientist,"At AWS, Network Availability Engineering is seeking a talented Data Scientist to join their Sydney team! Here at AWS we are looking for a Data Scientist who is…"
93,,Sydney NSW,"$700 - $1,100 a day",Data Scientist,6-months contract with a view to extend Opportunity to get on large volume of data Exposure to both data science and data engineering work My client is seeking…
94,NSW Health Pathology,St Leonards NSW,"$125,445 - $132,511 a year",Managing Scientist - Microbiology,"Senior Hospital Scientist I/C Lab >200. Scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the best…"
95,IBM,Melbourne VIC,,Data Engineer – Big Data - Melbourne,"Data Engineer – Big Data - Melbourne. I will support our software developers, database architects, data analysts and data scientists on client projects and will…"
96,IHS Markit,Melbourne VIC,,Automotive Data Researcher,"We are over 14,000 analysts, data scientists and specialists armed with real-time technology and data, working together to uncover deeper sources of information…"
97,FinXL,Surry Hills NSW,,Data Scientist,Working experience as a Data Scientist. We are looking for an experienced Data Scientist to work on a transformation project.
98,EY,Melbourne VIC,,Data Engineer,"We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business…"
99,NSW Health Pathology,Deniliquin NSW,"$53,647 - $55,829 a year",Medical Laboratory Assistant - Deniliquin,"Excellent data entry skills including high attention to detail and data accuracy. Our network of pathologists are supported by scientists, technicians and…"
100,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
101,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
102,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
103,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
104,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
105,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
106,NSW Health Pathology,Australia,"$64,282 - $93,112 a year",Medical Laboratory Scientist - Bourke/Walgett Laboratories,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…"
107,WooliesX,Darlinghurst NSW,,Lead Data Scientist,"Lead Data Scientist | Surry Hills. As the Senior Data Scientist, you will be responsible for supporting the Data Sciences team to develop, implement and…"
108,Robert Half Australia,Perth WA,"$150,000 a year",Data Scientist,"With a strong track record for success, your outstanding talents as a data scientist are needed to complete a passionate, imaginative, and inspired team."
109,CSL Behring,Parkville VIC,,Senior Scientist,Proficient in mass spectrometry data analysis tools. As Senior Scientist you will join CSL's Research Group at BIO21 and be responsible for providing…
110,Bendigo & Adelaide Bank,Melbourne VIC,,Senior Customer Data Scientist,We are seeking a Senior Customer Data Scientist to join our passionate team and help us deliver value through the use of analytics shaping our customer…
111,Australian Bureau of Meteorology,Australia,"$79,144 - $107,909 a year",Multi-Week / Seasonal Prediction Applications Scientist,"Forecast Services and Data and Digital. Classification APS Level 6 - Executive Level 1 (Research Scientist). Closing Date 11:30 pm AEST/AEDT Thursday, 22 August…"
112,Agency for Clinical Innovation,Chatswood NSW,"$110,961 - $126,496 a year",Data & Statistical Analyst,"An experienced data analyst who has worked with health data. Demonstrated proficient skills to program new analyses, clean and structure data, and develop and…"
113,Vibrato,Melbourne VIC,,Senior Data Scientist - Melbourne,"Be able to talk about data, the analysis and tell a story from the data. Design & Build Enterprise Data Lakes & big data analytics environments on AWS, Azure…"
114,Queensland Government,Brisbane QLD,,Advanced Environmental Health Scientist,"Collection, management and analysis of complex radiation health data. Significant formal training and advanced abilities in statistics and data analysis,…"
115,IBM,Melbourne VIC,"$89,250 a year",Research Scientist NLP Post Doc – FTH 24 Months Melbourne,Research Scientist Natural Language Processing Post Doc – FTH 24 Months Melbourne. Fundamental research into neural natural language processing methods and…
116,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
117,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
118,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
119,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
120,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
121,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
122,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
123,AYAN INFOTECH PTY LTD,Melbourne VIC,,Data Scientist,Core exp as a Data Scientist (8 years of experience in Data Science or related roles) - developing and optimizing algorithms using ML and non-ML techniques.
124,Valrose,Perth WA,,Senior Data Scientist,"Consisting of astute, diligent and ambitious Junior to Mid-Level Data Scientists. Previous experience applying a range of data science tools and techniques to a…"
125,Michael Page,Melbourne VIC,"$100,000 - $120,000 a year",Data Scientist,"The Data Scientist Role is a multifaceted one and supports a number of internal and external stakeholders. Experience working with Cloud(AWS, Azure)/ Big Data …"
126,carsales.com.au,Melbourne VIC,,Data Analyst - Digital,"This is an opportunity to work with and learn from extremely talented data analysts, engineers and scientists. And just a quick one…."
127,Seer,Melbourne VIC,"$80,000 - $90,000 a year",Data Scientist,"Experience with machine learning and data science. We’re looking to hire an engineer/developer to work alongside our web developers, data scientists and…"
128,St Vincent's Hospital Melbourne,Melbourne VIC,"$56,976 - $87,282 a year",Research Tissue Coordinator,"Data management, collection and recording. Demonstrated data collection and management skills. SVHM - Victorian Public Health Sector (Medical Scientists,…"
129,Paxus,Sydney NSW,,Data Scientist,5 + years experience as a Data Scientist. Join an industry leading insurance organisation as a Data Scientist. Experience with Customer Churn modelling.
130,NRMA Insurance Brisbane Broncos,Red Hill QLD,"$70,000 - $85,000 a year",Sports Scientist (Performance),Excellent working knowledge of data analysis software and sound working knowledge of Windows software; The Sports Scientist (Performance) is accountable for…
131,Cochlear Ltd,Sydney NSW,,Data Science Summer Internship,"Assess data quality and apply statistical methods to clean and infer missing data. As part of the Data Science Summer Internship, you will be given an important…"
132,Murdoch Childrens Research Institute,Parkville VIC,"$86,764 a year",Research Assistant - Respiratory Scientist,"Ongoing responsibility for data quality, integrity and security. Assists and contributes to data generation and analyses for research and publications."
133,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
134,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
135,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
136,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
137,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
138,News Corp Australia,Sydney Central Business District NSW,,Data Scientist,Provide data and analytical insights that can be leveraged across the consumer teams. Undertake proactive analysis of customer behaviour to produce data driven…
139,Michael Page,Sydney NSW,"$140,000 - $210,000 a year",Lead Data Scientist - building innovative technology for Aus...,"They bring together expertise in cognitive computing, big data, analytic, digital business design and Robotic Process Automation."
140,Hearing Australia,New South Wales,"$89,421 - $103,278 a year",Behavioural Scientist National Acoustic Laboratories,Analyse data and interpret results. This is an opportunity for an experienced and creative individual to join our existing team of behavioural scientists and…
141,GWF,Sydney NSW,,Senior Data Scientist | Advance Analytics,Minimum of 3+ years demonstrated hands-on working experience as a Data Scientist building Predictive Models/Deep-Learning with complex/large datasets.
142,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
143,Sirius People,Sydney NSW,,Data Scientist,Detect fraud from large data sets. Creating predictive models on large amounts of data. Advance data modelling and writing algorithms – optimisation.
144,Woolworths Group,Eight Mile Plains QLD,,People Data Analyst,Assist our Data Scientist by supporting the more complex work underway and/or drive your own data science initiative(s). That is where you come in.
145,Queensland Government,Brisbane QLD,,Statistician,Extract and provide data for client and national reporting purposes and ad hoc requests including providing advice on related data quality issues.
146,Alfred Health,Melbourne VIC,,Research Assistant,"Our team comprises senior scientists, biostatisticians, students, nurses and consultant neurologists. The research assistant will also have the opportunity to…"
147,Macquarie University,Macquarie University NSW,"$103,914 - $122,947 a year",Research Scientist: Mouse Population Genomics,"Demonstrated experience with analysis of genome sequencing data and high throughput sequencing population genomics data. From Level B $103,914 to 122,947 p.a."
148,International Institute of Data & Analytics,Sydney NSW,,Senior Data Analyst/Scientist,"In data science and big data analytics, the IDA creates enablers for: Lead and mentor junior data analysts/scientists in a closely collaborative data science…"
149,Rio Tinto,Brisbane QLD,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
150,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
151,University of New South Wales,Sydney NSW,"$76,570 - $102,091 a year",Postdoctoral Fellow - Data Scientist,"This position will play a key role in undertaking data scientist specific tasks including data collection, data wrangling, big data analytics including…"
152,Continuum Recruitment,Melbourne VIC,,Data Scientist,A strong knowledge of and experience using data visualisation tools in day to day work (e.g. Strong demonstrated experience with advanced data science analytic…
153,Cover Genius,Sydney NSW,,Data Scientist,"We’re seeking a data scientist to help us take our BrightWrite product to the next level. As a data scientist, you should be comfortable talking about…"
154,Deloitte,Brisbane QLD,,Data Scientist,"Mentor a team of capable analysts and consultants to identify data gaps, automate data collection techniques, cleanse data and conduct quality checks at every…"
155,Rio Tinto,Brisbane QLD,,Lead - Human Resource Data Scientist,Lead - Human Resource Data Scientist. We are looking for a Lead - Human Resource Data Scientist to lead a small team of Data Scientists within the HR Function…
156,Fortune Select,Newcastle NSW,,Data Scientist,We are looking for data scientist with over 10 year’s exp. In data scientist role and 5 years in telco exp. Candidate should have big data analytics exp.
157,HAYS,Brisbane Central Business District QLD,,Data Scientist,3+ years experience as a data scientist. An opportunity for a Senior Data and BI Analyst to jump and develop in a Data Scientist role. What you need to do now.
158,Victorian Government,Melbourne VIC,,Deputy Chief Environmental Scientist - Environmental Science,"Deputy Chief Environmental Scientist x 2. Responsible for leadership of applied scientists, technicians, communications staff, citizen science and engineers."
159,Equifax,Melbourne VIC,,Statistical Analyst,Collaborate & learn from some of the best data minds in Australia who are passionate about all things data and analytics. Ability to quickly learn & adapt.
160,Queensland Government,Brisbane QLD,,Statistician / Analyst,Cleaning and processing survey responses and other structured and unstructured data. The responsibilities and duties of the role are likely to include a…
161,Opus Recruitment Solutions,Melbourne VIC,"$800 - $1,100 a day",Lead Data Scientist,"Undertaking data collection, prepossessing and analysis. Presenting information using data visualization techniques. A chance to lead from the front."
162,Michael Page,Sydney NSW,"$130,000 - $160,000 a year",Data Scientist - Computer Software - Machine Learning,Work experience on data science and analytics issues. Proven experience in translating business challenges into data pipelines & model framework.
163,Australian Government Department of Defence,Edinburgh SA,"$67,100 - $92,150 a year",APS 4/5-6 (S&T Lvl 3-4) - Artificial Intelligence & Machine...,"AML involves countering data-driven attacks on ML solutions, whereby malicious actors modify training or test data to mislead and/or subvert ML predictions."
