,Company,Location,Job Title,Summary,Annual_salary,Job_Type
15,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
16,University of Melbourne,Parkville VIC,FINANCE TRANSFORMATION ANALYST,"Ideally, this individual will also have experience in a project management environment, with knowledge in data visualisation tools, such as Tableau or Power BI:",107668.0,1
17,koji,Melbourne VIC,Market Research Consultant - Data Visualisation and Analysis,"Dealing with data providers and other data analysts. Data extraction, manipulation & analysis. Developing new ways of reporting data.",65000.0,0
18,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
19,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
20,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
21,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
22,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
23,IBM,Melbourne VIC,IBM Research Scientist Data Scientist – Melbourne,"IBM Research Scientist Data Scientist – Melbourne. Experience working with big data sets, especially in secure environments. What will I be doing?",89250.0,0
24,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
25,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
26,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
27,GapMaps Pty Ltd.,Docklands VIC,GIS Analyst / GIS Scientist,Produce reports on geographic data utilizing data visualizations. Designing digital maps with geographic data and other data sources.,70000.0,0
28,Consultel Solutions,Melbourne VIC,Data Engineer - Python,"At least 4 years of relevant hands on coding experience in Python, Hadoop, in Data Engineer / Analyst positions. 4 years + big data hands-on experience.",65500.0,0
29,Bayside City Council,Sandringham VIC,3D Spatial Information System Analyst,PD & KSC_3D SIS Analyst Position.DOCX. We have an exciting opportunity for an enthusiastic full-time 3D Spatial Information System Analyst to join our GIS team…,87391.0,0
30,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
31,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
32,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
33,Servian,Sydney NSW,Data Analyst,"As a Data Warehouse and BI generalist you will be a technologist at heart, bringing problem-solving and end to end experience and skills in data warehouse…",80000.0,0
34,4impact Group,Sydney NSW,Data Governance Analyst,Develop Data Quality metrics and reporting across key data domains. Conduct reviews of Data assets and controls. Define and document business logic;,201750.0,1
35,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
36,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
37,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
38,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
39,The University of Queensland,St Lucia QLD,Student Load Forecasting Analyst,"We are looking for an analyst with strong administrative, analytical and technical skills who enjoys using data to gain insights into complex problems while…",116386.5,1
40,JANA Investment Advisers,Melbourne VIC,Database and Application Support Analyst,"Demonstrate a good understanding of data, databases and analytics with Microsoft SQL Server and the ability to write SQL being an advantage.",72500.0,0
41,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. … Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
42,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
43,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
44,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
45,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries … Good understanding of Data Analysis and data management.",100000.0,0
46,Deakin University,Australia,Change Analyst,"As leaders in technology, we drive digital innovation at… Analyse data to inform change management strategies. … The Position Description Change Analyst (3).pdf.",92105.0,0
47,Ignite,Melbourne VIC,Business Analyst,"Demonstrated experience as Analyst with ability to… 5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement.",174850.0,1
48,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
49,Consulting & Implementation Services (CIS),Docklands VIC,Analyst Consultant,"We are seeking to expand our team with the appointment of an Analyst Consultant. These skills will be used to support client engagements, complete desk-based…",65000.0,0
50,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
51,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
52,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
53,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
54,EY,Sydney NSW,Data Business Analyst - Sydney,"We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business…",92000.0,0
55,Orchard Marketing,Sydney NSW,Data Analysts - All Levels!,You will be comfortable not only mining data but also synthesising multiple data sources to generate not only relevant insights but to take it a step further…,105000.0,1
56,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
57,Intellify Pty Ltd. - ACS Foundation,Sydney NSW,Intern Data Scientist,"Experience with data visualisation tools or frameworks i.e. tableau, D3.js, ggplot2 etc. Strong Python or R programming experience and related data science…",42000.0,0
58,Consultel Solutions,Melbourne VIC,Business Analyst,"Data analysis and drawing insights from data mandatory. Support quality, data driven decision making across Group Communications to support strategy delivery.",65500.0,0
59,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
60,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
61,Regis Aged Care,Australia,IT Analyst (Security Operations),The IT Analyst (Security Operations) owns the prevention of unauthorized access or deliberate cyber-attack on Regis’ information systems.,95000.0,0
62,Deloitte,Melbourne VIC,TS&T - ServiceNow Consultant - Melbourne,"ACL’s, data policies, UI scripts.work independently with. You’ll collaborate with Business Analysts, Experience Strategists, Visual Designers, Developers and…",81500.0,0
63,Michael Page,Chatswood NSW,Data Analyst - a leading Australian retailer - Innovative to...,Can extract data from large databases using SQL to develop data queries. Work in the Data Analytics team to deliver significant and action-oriented analyses and…,120000.0,1
64,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
65,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
66,Government of South Australia,Adelaide SA,DATA SCIENTIST,"The Data Scientist is a technical expert responsible for statistical analysis and data analysis of multiple sensitive, large and diverse data sets, used to…",96343.0,0
67,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
68,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
69,Westbury Partners,Sydney NSW,Data Modelling Analyst SQL/ Python - Pre-Trade - Sydney,"Strong data modelling, data lineage and mapping. This role would be suited for a Data Modelling Analyst with extensive financial markets experience.",215200.0,1
70,ACT Government,Canberra ACT,Assistant Analyst/Auditor,"We want an innovative, forward-thinking professional who does not mind digging into data and searching for potential loopholes and vulnerabilities.",73271.5,0
71,City of Greater Geelong,Geelong VIC,System Support Analyst,"Substantial relevant experience in data collection, analysis and creating and managing performance reports from system data. Band 6 ($83,508 - $90,180 pa).",86844.0,0
72,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
73,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
74,Pinpoint Talent,Geelong VIC,Data Analyst,"Advanced data analysis and data modelling skill, including MS Power Query, Power Pivot, M-Language, and DAX. Undertaking quality assurance activities to ensure…",108676.0,1
75,Michael Page,Melbourne VIC,Data Analyst,"Chance to work with Sales and Marketing data. Experience with data visualisations tools (Tableau, Qlik, PowerBI).",90000.0,0
76,icare NSW,Sydney Central Business District NSW,Qlik Analyst,Icare is currently seeking a savvy Qlik Analyst who is intuitive and a problem solver to join the team! We’re looking for a motivated and experienced Qlik…,110000.0,1
77,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
78,Envato,Melbourne VIC,Product Analyst,Experience with big data - an advantage (this will help you collaborate with our Data Platforms Team). To shed some light on what life is like as a Product…,105000.0,1
79,Australian Maritime Safety Authority (AMSA),Sydney NSW,Senior Advisor Safety Data Analyst,"As the Senior Advisor, Safety Data Analyst, you will be responsible for safety data management, extraction, interpretation, evaluation, and analysis of maritime…",137253.0,1
80,Knox City Council,City of Knox VIC,GIS Business Analyst,"Data visualization, including design of interactive maps and data dashboards. The ideal candidate will combine the skills of an analyst and a system…",85980.5,0
81,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
82,Cancer Institute Division,Eveleigh NSW,Health System Performance Analyst,Access to a wide range of linked healthcare data. In this role you will provide analyst skills to produce appropriate data extractions and measures for…,106912.5,1
83,Enterprise IT Resources Pty Ltd,Newcastle NSW,Data Analyst (Ref:4417),"The Data Analyst will be responsible for delivering actionable insights through analysis of complex data sets, utilising a variety of tools and techniques,…",100730.0,1
84,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries … Good understanding of Data Analysis and data management.",100000.0,0
85,InstallEx Victoria Pty Ltd,Melbourne VIC,ICT Business Analyst,"Ensure the security, integrity of information and data across the organisation, including the design of relevant policy, processes and procedures as it relates…",60000.0,0
86,Westbury Partners,Sydney NSW,Senior Data Analyst - Python,"Our client, a leading financial institution require a senior data analyst to report to the head of data analytics. Master’s degree in a quantitative discipline.",215200.0,1
87,DFP Recruitment Services Pty Ltd,Geelong VIC,APS6 Data Analyst,Strong analytical skills and previous experience as a data analyst. Joining the team as an experienced data analyst you will be responsible for the following…,108676.0,1
88,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
89,Jetstar AU,Melbourne VIC,Business Analyst,Demonstrated experience in data analytics. Build and manage self-service reporting functionality within PowerBI and other data driven systems Participate in the…,95000.0,0
90,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
91,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
92,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
93,face2face Recruitment,Canberra ACT,APS6 Data Analyst,Data insight and analysis services. Translate data into clear and concise narrative. Demonstrate flexibility by preparing data for ad-hoc requests from…,123740.0,1
94,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
95,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries … Good understanding of Data Analysis and data management.",100000.0,0
96,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. … Experience of working on data integration projects.,75000.0,0
97,New Phase Energy,Bentleigh VIC,Organisation and Business Analyst,"Investigate and analyse large data sets to generate solutions and recommendations. … Experience working with raw and unstructured data, records and charts.",87500.0,0
98,Ignite,Melbourne VIC,Business Analyst,"Demonstrated experience as Analyst with ability to… 5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement.",174850.0,1
99,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
100,Talent Insights Group,Melbourne VIC,Data & Insights Analyst,"+2 years working as an Insights Analyst, Data Analyst, or Data Scientist. We are looking for a passionate Data Analyst with experience working in enterprise…",161400.0,1
101,Digitalent,Melbourne VIC,Marketing Account Manager/ Digital Analyst,Marketing Account Manager/ Digital Analyst. Strong aptitude in technology/ data analysis. This is a great chance for a junior to mid data driven analyst with a…,85000.0,0
102,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
103,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
104,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
105,Pinpoint Talent,Geelong VIC,Senior Data Analyst,"As the Senior Data Analyst, you would be working within a national organisation who's transformational approach to disability supports and services a radically…",108676.0,1
106,Robert Half Australia,North Shore NSW,Data Analyst,"Experience working as a Data Analyst,. You will be working in the Product Marketing team as the Data Analyst helping to gather the relevant data to support…",86080.0,0
107,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
108,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
109,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
110,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
111,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. … Experience of working on data integration projects.,75000.0,0
112,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. … Demonstrated experience as Analyst with ability to…",174850.0,1
113,Catch.com.au,Bentleigh East VIC,Senior Marketing Data Analyst,"Understand the existing SQL marketing data. … 2-3 years’ experience with SQL coding, data manipulation and analytics packages. … Sounds like you’d be a good fit?",95000.0,0
114,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. … Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
115,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. … Experience of working on data integration projects.,75000.0,0
116,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. … Demonstrated experience as Analyst with ability to…",174850.0,1
117,Robert Half Australia,Macquarie Park NSW,"Data Analyst (Excel, SQL, Tableau)","Working with reports around pricing data, vendor data, materials data etc. … National client based in North Ryde is actively seeking a Data Analyst to aid in the…",90000.0,0
118,HorizonOne Recruitment,Canberra ACT,APS4 Data Analyst - SQL / R Code,Experience managing and analysing data in SQL with advanced Excel skills. … Ability to interpret data and model probabilities and quantities.,88232.0,0
119,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. … Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
120,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
121,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
122,Cognizant Technology Solutions,Sydney NSW,DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.,75000.0,0
123,Deloitte,Melbourne VIC,Deloitte Managed Solutions - Senior Analyst,"Deloitte Managed Solutions - Senior Analyst. You can also expect to be involved in data reporting, financial management, resourcing and operational tasks to…",70000.0,0
124,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
125,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
126,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
127,NES Global Talent - US,Roma QLD,Data Analyst,"On a daily basis your duties will include but not be limited to maintaining the well data integrity and reliability, designing and processing detailed daily end…",105000.0,1
128,The University of Adelaide,Adelaide SA,Find Out More,"Reporting to the CISO, the Cybersecurity Lead is responsible managing a team of analysts and provide oversight of the blue team activities including:",118844.5,1
129,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
130,Michael Page,Melbourne VIC,Lead Data Scientist - Tech,"An experienced machine learning practitioner, passionate about building and improving internet-scale products informed by data.",215000.0,1
131,CR-X,St Kilda Road VIC,Systems Analyst/ Software Engineer,"A CR-X application provides interconnection between dissimilar computer systems, handles data encoding, custom formatting, data compression, all data mapping…",55000.0,0
132,University of New South Wales,Sydney NSW,Postdoctoral Fellow - Data Scientist,"Develop and undertake data analytical techniques to understand new insights into city form and function using spatial data, open data, big data and thick data.",89330.5,0
133,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
134,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
135,Robert Half Australia,Perth WA,Financial Analyst,Robert Half are currently seeking a Financial Analyst for… This position will require a candidate with high attention to detail and analysis of financial data.,120000.0,1
136,APPRECIATING RECRUITMENT GROUP,Sydney NSW,Data Analyst Consultant,"Analyse survey responses and data | New role in growing business. Passion for statistics, data and trends? Leading the collection, analysis, visualisation and…",65000.0,0
137,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries … Good understanding of Data Analysis and data management.",100000.0,0
138,Ignite,Melbourne VIC,Business Analyst,"Demonstrated experience as Analyst with ability to… 5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement.",174850.0,1
139,Brisbane City Council,Brisbane QLD,SENIOR REPORT ANALYST,"Support Services, Data Reporting and Analysis. We partner with internal customers to develop self-service reporting and analytic solutions that contribute to…",95001.0,0
140,Envato,Melbourne VIC,Data Analytics Specialist,"Experience with big data - an advantage (this will help you collaborate with our Data Platforms Team). Data is central to our growth strategy, and as a result,…",105000.0,1
141,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
142,AndersElite Professional Recruitment,Perth WA,Data Analyst,"I have an urgent requirement for a data analysts for a short term.( 1 – 1.5 months). The skillset I am needing currently are. Scripting in SQL , Python etc..",107600.0,1
143,Agile Talent,North Sydney NSW,Junior Data Analyst - Banking & Finance,My client is looking to hire 2 junior or graduate data analysts who only have a couple of years… Have experience in Data Reviewing workflow and processes.,53800.0,0
144,DFP Recruitment Services Pty Ltd,Geelong VIC,Business/Data Analyst - Reporting,Seek feedback from team members regarding the data required and the current data accuracy and timeliness as part of ongoing performance development.,108676.0,1
145,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries … Good understanding of Data Analysis and data management.",100000.0,0
146,Seer,Melbourne VIC,Data Scientist,Experience with machine learning and data science. Developing tools and automated processes for data management and machine learning algorithms.,85000.0,0
147,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
148,Greythorn,Sydney NSW,Senior Data Analyst,"Data Analyst/ Data Science/ BI. A leading ASX listed marketing business based in Sydney, CBD have an exciting opportunity for a Senior Data Analyst to join the…",115000.0,1
149,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
150,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
151,Envato,Melbourne VIC,Customer Growth & Marketing Analyst,"Experience with big data - an advantage (this will help you collaborate with our Data Platforms Team). Data is central to our growth strategy, and as a result,…",105000.0,1
152,Sutherland Shire Council,Sutherland NSW,Systems Analyst Specialist,You will analyse and document systems processes and procedures to improve business and functional requirements leading to the design of data management and…,93500.0,0
153,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
154,Ignite,Melbourne VIC,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…",174850.0,1
155,Aurec,Melbourne VIC,Junior Business Analyst,Project plans / data models / process flows. My client is a leading powerhouse within the data and information sectors in Melbourne CBD and they are looking to…,64000.0,0
156,APPRECIATING RECRUITMENT GROUP,Sydney NSW,Data Analyst,"Passion for statistics, data and trends? Analyse survey responses and data | New role in growing business. Leading the collection, analysis, visualisation and…",65000.0,0
157,Cognizant Technology Solutions,Melbourne VIC,Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …",100000.0,0
158,Morgan McKinley,Sydney NSW,Finance & Data Analyst,"Ability to build dashboards, graph metrics, and manipulate data. Hence, they now require an accomplished Finance professional with solid experience with Data…",110000.0,1
159,Coliban Water,Bendigo VIC,Business Intelligence Analyst,"The Business Intelligence Analyst is responsible for designing and developing useful, sound, data visualisation solutions to optimise value from a rich variety…",83907.0,0
