,Company,Location,Salary,Job Title,Summary
65,DWS,Sydney NSW,,Data Analyst,"Ability to work with large sets of data from various data sources, conducting deep dives to identify trends and provide insights using your expertise in data…"
66,EY,Sydney NSW,,Data Analyst,"Proven work experience as Data Analyst/Business Data Analyst. Provide data analysis and quality data using large data bases, Power BI, SQL."
67,IRESS Limited,Melbourne VIC,,Data Conversion Analyst,"Identify and address differences between two databases during the data transfer to ensure data compatibility. Data extraction, conversion and scripting."
68,Ironbark,Eight Mile Plains QLD,,Junior Data Analyst,If you are about to graduate or are a recent Business (with accounting systems exposure) or IT graduate (information systems graduate) and would give everything…
69,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
70,Ignite,Canberra ACT,,Data Support Analyst,Our client is seeking a Data Analyst for a long-term contract until September 2020 with extension through to September 2022.
71,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
72,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
73,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
74,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
75,Woolworths Group,Eight Mile Plains QLD,,People Data Analyst,"People Data Analyst - 6 month fixed term contract. Working together with a team of experienced HR analysts and a data scientist, you will work out technical…"
76,PS+C,Australia,,Data Analyst,You will have a passion of working with data and appreciating how data can transform business. Convert business data and insights requirements into Data Layer…
77,Latitude Financial Services,Docklands VIC,,Data Analyst- 12m Fixed Term Contract,"Curious and with a problem-solving mindset, you will have previous experience in a data analytics / analyst role. Any Adobe Analytics experience is useful too."
78,Gravity Consulting,Canberra ACT,,Graduate Software Engineer/Data Analyst,"We are currently on the look out for Graduate Software Developers /Data Analysts . At Gravity iLabs, we believe that the way strategy is managed in large…"
79,Carecone Technologies,Melbourne VIC,,Sr. Data Analyst,"Acquiring data from primary or secondary data sources and maintaining databases. Developing and implementing data analyses, data collection systems and other…"
80,Department of Premier & Cabinet,Melbourne City Centre VIC,,Senior Analyst Data and Evaluation,The Senior Data and Evidence Analyst will lead analytical projects and specific data/evidence analysis tasks as well as undertake research and analysis…
81,Intercontinental Exchange,Southbank VIC,,Data Analyst (Fixed Term - Part Time),Intercontinental Exchange has an opportunity for a Data Analyst for Japanese Language within its ICE Data Services business. Accuracy - Strong focus on data.
82,Reprise Media Australia,Australia,,Data Analyst,Experience with data visualisation & dashboarding software such as Data Studio or Tableau. Experience in delivering data analytics insights and solutions to…
83,Westpac Group,Sydney Central Business District NSW,,Data Analyst,"Group Data, Information and Analytics. Use of data warehouses and core databases, with knowledge of Westpac and St George data and systems an advantage."
84,Affinity Education Group,Brisbane QLD,,Junior Data Analyst,"Accurately report on and monitor Qikkids data (e.g. Working within a small team, this role will see you support the Business Performance Manager with a focus on…"
85,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
86,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
87,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
88,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
89,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
90,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
91,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
92,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
93,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
94,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
95,CUA,Brisbane QLD,,Senior Data Analyst,As the Senior Data Analyst you will leverage all CUA data sources to provide analytics and reporting and provide ongoing support relating to this.
96,NAB - National Australia Bank,Melbourne VIC,,Senior Analyst Data Protection,Increase data protection Policies to reduce risk of potential data loss; 3+ years’ experience in Data Management. This role is a key asset for NAB.
97,IBM,Melbourne VIC,"$89,250 a year",IBM Research Scientist Data Scientist – Melbourne,"IBM Research Scientist Data Scientist – Melbourne. Experience working with big data sets, especially in secure environments. What will I be doing?"
98,CPB Contractors,Melbourne VIC,,GIS Analyst,As GIS Analyst you will be accountable for: We are currently seeking an experienced GIS Analyst for a project based in Melbourne.
99,Rio Tinto,Australia,,Human Resources Data Scientist,"We are looking for two Human Resources Data Scientists to work within the HR function focusing on working with People data, while working closely with the data…"
100,Johnathan Thurston Academy,Newstead QLD,,Data Analyst - Newstead,The Data Analyst role forms part of the IT Service Delivery team within BOQs Technology division. In your new role you will have advanced excel skills in order…
101,Eliiza,Melbourne VIC,,Data Scientist,Ability to manipulate complex data sets to model and visualise the data. Represent Eliiza within the data and machine learning community.
102,Coles,Hawthorn East VIC,,Risk Analyst (part-time),Develop approach to governing data (including extracting the value from known data sources and keeping information confidential and secure).
103,Sydney Water,Parramatta NSW,,Data Analyst,Provide data processing and analysis expertise across all data streams in use within Customer Programs. Ensure data used in analysis is robust.
104,Qantas Airways Limited,Sydney NSW,,Ancillary Product Analyst,We are looking for an experienced individual to perform the role of Product Analyst in our Ancillary Revenue Department.
105,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
106,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
107,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
108,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
109,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
110,Remote Control Technologies,Kewdale WA,,Market Analyst,The Market Analyst is responsible for: RCT currently has an exciting opportunity to appoint a proactive and professional Market Analyst.
111,GapMaps Pty Ltd.,Docklands VIC,"$70,000 a year",GIS Analyst / GIS Scientist,Produce reports on geographic data utilizing data visualizations. Designing digital maps with geographic data and other data sources.
112,FinXL,North Sydney NSW,,Data Analyst,Maintain data flow and integrity of data input/output. Managing all data in the system – involves creating and updating data fields.
113,Eco Logical Australia,Botany NSW,,Graduate/Junior GIS Analyst,"Generally be involved in spatial data creation, data management, spatial analysis, map production. GIS Analyst to join our team and learn from dynamic and…"
114,Macquarie Group Limited,Sydney NSW,,MI Analyst – Data Governance,"Exposure or hands on experience with data management tools such as metadata tools, data dictionaries, data modelling or data quality tools."
115,Linfox,Melbourne VIC,,Transport Analyst,Providing data analysis for weekly reporting of financial inputs. The Government & Defence Business Unit is currently seeking an experienced Transport Analyst…
116,Deloitte,Sydney NSW,,Senior Data Analyst,"Big data, information and analytics. Solid experience in data acquisition, transformation and lineage. Applying analytical and statistical techniques to achieve…"
117,Northern Health Australia,Melbourne VIC,,Data Scientist,"Tertiary qualifications in Information Technology, Statistics, Data Science or related discipline. The position will have access to data and be solving real…"
118,SAI Global,Sydney NSW,,Data Analyst/BA (six month contract),We're seeking an experienced Data Analyst with strong Business Analyst skills to join our team on a contract basis. 5+ years data analysis experience.
119,Consultel Solutions,Melbourne VIC,"$65,000 - $66,000 a year",Data Engineer - Python,"At least 4 years of relevant hands on coding experience in Python, Hadoop, in Data Engineer / Analyst positions. 4 years + big data hands-on experience."
120,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
121,Rio Tinto,Brisbane QLD,,Analyst Project Data Management,Analyst – Project Data Management. We are looking for an Analyst – Project Data Management to join our Project Data and Document Management team to provide…
122,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
123,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
124,Megaport,Brisbane QLD,,Data Cleansing Analyst Temp,Ensure data consistency for all the countries globally. Identify root causes for issues that are generating the data errors. What we are looking for.
125,City West Water,Footscray VIC,,Graduate Economist,"Your fellow graduates will be from the fields of Engineering, Information Technology and Data Science. A role with us will see you join 450 people including…"
126,VicForests,Melbourne VIC,,GIS Analyst,"Development, implementation and support of mobile field data. Spatial data are the primary component of VicForests’ planning and. Experience in Open Source GIS."
127,Tatura Milk Industries,Tatura VIC,,Continuous Improvement Analyst Port Melbourne,The Continuous Improvement Analyst is directly responsible to the Group Continuous Improvement Manger for: The Continuous Improvement Analyst is a key member of…
128,Bayside City Council,Sandringham VIC,"$87,391 a year",3D Spatial Information System Analyst,PD & KSC_3D SIS Analyst Position.DOCX. We have an exciting opportunity for an enthusiastic full-time 3D Spatial Information System Analyst to join our GIS team…
129,Youi Pty Ltd,Sunshine Coast QLD,,Graduate Data Scientist,Preparation of data used for analysis. Research and apply data science techniques to non-standard problems. High levels of curiosity which drives you to dive in…
130,American Express,Sydney NSW,,Analyst - Finance And Data Analytics,"Proven working experience using SAS or any Big Data coding languages. The Analyst in the Finance Organisation will be responsible for: Aug 15, 2019, 4:46:58 AM."
131,Peregrine Corporation,South Australia,,SQL Data Analyst,"Working with cross-functional teams in a consultative role, the SQL Data Analyst is responsible for data related activities including interpreting the outcomes…"
132,A Cloud Guru,Melbourne VIC,,Senior Data Analyst,The Senior Data Analyst role. 3 years of commercial experience as a Data Analyst or Technical Business Analyst. Working at A Cloud Guru.
133,Terra Firma,Melbourne VIC,,Business Analyst - Data,"We're looking for talented Business Analysts with a background in Data. Previous experience in data profiling, cleansing, quality, matching and transformation…"
134,Cognizant Technology Solutions,Sydney NSW,"$60,000 - $90,000 a year",DataHub Data Analyst,Cognizant hiring for DataHub Data Analyst with strong SQL skills and ETL background. Experience of working on data integration projects.
135,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
136,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
137,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
138,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
139,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
140,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
141,ANZ Banking Group,Melbourne VIC,,Data Analyst,"As the Data Analyst, you will work closely with Subject Matter Experts to understand the nature of data quality issues and initiatives and leverage technical…"
142,Servian,Sydney NSW,"$70,000 - $90,000 a year",Data Analyst,"As a Data Warehouse and BI generalist you will be a technologist at heart, bringing problem-solving and end to end experience and skills in data warehouse…"
143,International Institute of Data & Analytics,Sydney NSW,,Junior Data Analyst/Scientist,"In data science and big data analytics, the IDA creates enablers for: The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech…"
144,Qantas Airways Limited,Sydney NSW,,"SEM Analyst, Qantas Loyalty",Opportunity to work in a team of highly-skilled Analysts. Implement consistent campaign tagging/tracking to fundamentally use the resulting data to work on…
145,4impact Group,Sydney NSW,$700 - $800 a day,Data Governance Analyst,Develop Data Quality metrics and reporting across key data domains. Conduct reviews of Data assets and controls. Define and document business logic;
146,Amzn Commercial Srvcs Pty Ltd,Sydney NSW,,Brand Data Analyst,"Prior experience working in data & analytics (SQL, Tableau, Excel). As Brand Data Analyst, you will will join the Amazon Strategic Vendor Services team and…"
147,Medibank,Docklands VIC,,Senior Data Analytics & Reporting Analyst,"Analytics, Database, Data Analyst, Developer, Statistics, Technology, Management, Data. Extracting, merging and transforming data from different data sources or…"
148,Nestle,Rhodes NSW,,Forecasting Analyst,"Discipline in Data Science, Data Engineering, Business Analytics , Supply Chain or equivalent would be advantageous. Rhodes | Full time Permanent."
149,carsales.com.au,Melbourne VIC,,Data Scientist,Strong data analytics and science skills. Our Consumer Data & Insights are the go-to for a variety of teams across the business for anything data.
150,Water Corporation,Perth WA,,Snr Analyst - Data Governance,Snr Analyst - Data Governance - 0N3T. Review and verify compliance of our information systems and data lake environment enforcing data integrity controls per…
151,Kmart,Victoria,,Health & Safety Data Analyst,Advanced training in Microsoft Excel and data base management. Tertiary qualification in Business or Data Science combined with Diploma in Business…
152,Rio Tinto,Perth WA,,Analyst Geoscientific Data Management - Resource Development...,Analyst Geoscientific Data Management - Resource Development - Perth. We are currently looking for an Analyst Geoscientific Data Management to provide data…
153,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
154,Rio Tinto,Brisbane QLD,,Analyst Project Data Management,Analyst – Project Data Management. We are looking for an Analyst – Project Data Management to join our Project Data and Document Management team to provide…
155,Ignite,Melbourne VIC,$600 - $700 a day,Business Analyst,"5+ years’ experience in analysis, data management, reporting, change management and stakeholder engagement. Demonstrated experience as Analyst with ability to…"
156,Allianz,Sydney NSW,,Actuarial Analyst,"Updating models and data preparation. Supporting the development of more junior analysts, as appropriate. You will be the primary analyst on the team producing…"
157,Cognizant Technology Solutions,Melbourne VIC,"$90,000 - $110,000 a year",Data Analyst,"Good understanding of Data Analysis and data management. Solid SQL skill and be able analysis the data issue and root cause, as well as create complex queries …"
158,Peoplebank,Southbank VIC,,Data Analyst,Looking for an experienced Data Analyst to support the division responding to data requests and provide supporting analysis.
159,Ecolab Pest France,Sydney NSW,,"Master Data Analyst - Governance, ANZ","Master Data Analyst – Governance, ANZ. Build relationships with the business users, technical staff and Global Master Data teams to resolve issues associated…"
160,Experian,Melbourne VIC,,Consultant Analyst,"Expertise within the Data Quality industry including data manipulation and complex data quality projects incorporating elements of cleansing, standardisation,…"
161,Amzn Commercial Srvcs Pty Ltd,Sydney NSW,,Brand Data Analyst,"Prior experience working in data & analytics (SQL, Tableau, Excel). As Brand Data Analyst, you will will join the Amazon Strategic Vendor Services team and…"
162,Betsson Group,Tasmania,,Customer Insight Analyst,Has the ability to get things changed using insight and data. Has an affinity for data and is always looking for ways to improve things. What's in it for me:
163,Johnathan Thurston Academy,Newstead QLD,,Data Analyst - Newstead,The Data Analyst role forms part of the IT Service Delivery team within BOQs Technology division. In your new role you will have advanced excel skills in order…
164,ME Bank,Melbourne VIC,,Analyst Securitisation,"Popular culture – that’s not a claim, we’ve got the data to prove it. We’re not like other banks. ME was created by the industry super funds to be different…"
165,KBRWyle,Melbourne VIC,,Senior GIS Analyst,"Develop reports, mapping and data products. Data manipulation, analysis, management and visualisation of spatial and a spatial data sets including 2D and 3D…"
166,NAB - National Australia Bank,Melbourne VIC,,Senior Analyst Data Protection,Increase data protection Policies to reduce risk of potential data loss; 3+ years’ experience in Data Management. This role is a key asset for NAB.
167,Alchemy Recruitment Consulting,Queensland,,Inventory Analyst - Projects,Excellent with bulk data management and manipulation. Exporting and developing data across a range of different platforms. Experience with SAP MRP software.
168,Nielsen,Melbourne VIC,,Innovation Market Research Analyst,Innovation Market Research Analyst - 41691. Review data for errors and inconsistencies. Today’s data is tomorrow’s marketplace revelation.
